analysis,feature_set,model,n_rows,n_athletes,target,r2_mean,r2_ci_low,r2_ci_high,r2_sd,mae_mean,mae_ci_low,mae_ci_high,rmse_mean,rmse_ci_low,rmse_ci_high
future_horizon_max,context_current,Ridge,1041,289,future_max_points,0.6002263925724098,0.4109007349770535,0.7895520501677662,0.13637990338142736,53.43690414391108,38.881842819040315,67.99196546878184,73.01504512991623,52.73949625785771,93.29059400197475
future_horizon_max,context_current,RandomForest,1041,289,future_max_points,0.5931495027706786,0.4569791374173538,0.7293198681240034,0.09808972278861157,51.06938517798922,36.94429705209794,65.1944733038805,74.00458315556457,59.03130910573263,88.97785720539652
future_horizon_max,context_current,GradientBoosting,1041,289,future_max_points,0.5837235963651524,0.4681917439216183,0.6992554488086865,0.08322286093627154,52.673097367079436,39.41235785118898,65.9338368829699,75.09919030797133,60.325136850817785,89.87324376512487
future_horizon_max,context_current_implements,Ridge,1041,289,future_max_points,0.5984973124074833,0.40801035085718734,0.7889842739577793,0.13721644356928522,53.4195299012957,38.92123542241484,67.91782438017655,73.18468320768767,52.598032721278955,93.77133369409638
future_horizon_max,context_current_implements,RandomForest,1041,289,future_max_points,0.598014094756887,0.45766794498937285,0.7383602445244013,0.1010977306951046,51.270241274244576,36.40017800272144,66.1403045457677,73.53730675540524,57.713782529015035,89.36083098179544
future_horizon_max,context_current_implements,GradientBoosting,1041,289,future_max_points,0.5786348621869,0.44288617812240305,0.7143835462513969,0.0977859665299062,53.37855108306485,38.477767576569946,68.27933458955975,75.50090283718728,58.44389446799417,92.5579112063804
future_horizon_max,g1_current,Ridge,1041,289,future_max_points,0.6073053720761131,0.4441237717735929,0.7704869723786334,0.11754714688723865,53.361730706778324,41.23616919569977,65.48729221785688,72.52597545114506,54.3371969976847,90.71475390460542
future_horizon_max,g1_current,RandomForest,1041,289,future_max_points,0.6062871606407285,0.4624923747201325,0.7500819465613245,0.10358194055513432,51.40939665070157,37.03013501313374,65.7886582882694,72.82016441940175,55.932024195847035,89.70830464295646
future_horizon_max,g1_current,GradientBoosting,1041,289,future_max_points,0.6160480973711457,0.48388456345754516,0.7482116312847463,0.09520341941295832,51.309659236080584,37.89819028861048,64.72112818355069,71.88464859703359,56.77998136441417,86.98931582965301
future_horizon_max,broader_g1_current,Ridge,1041,289,future_max_points,0.6056931497492488,0.44836500481015196,0.7630212946883457,0.1133306361033841,53.74876559517346,42.03319315193729,65.46433803840962,72.70636541255365,55.244320898273635,90.16840992683368
future_horizon_max,broader_g1_current,RandomForest,1041,289,future_max_points,0.6024500206295679,0.459354022035497,0.7455460192236387,0.10307857218295442,52.5312954951434,38.44583989165827,66.61675109862853,73.18275661612964,56.64143991339285,89.72407331886643
future_horizon_max,broader_g1_current,GradientBoosting,1041,289,future_max_points,0.6023689452960729,0.45932362336083565,0.7454142672313101,0.10304206747501778,52.68565613859657,39.764689230248294,65.60662304694485,73.055345393338,58.1167397180335,87.9939510686425
