outcome,model,feature_set,fold,n,n_positive,n_negative,roc_auc,pr_auc,balanced_accuracy,f1,brier
future_ge900,GradientBoosting,g1_current,5,57,15,42,0.8650793650793651,0.6515274982666287,0.6952380952380952,0.5517241379310345,0.15026615670550575
future_ge950,LogisticRegression,context_current,1,58,9,49,0.854875283446712,0.6068615984405458,0.7664399092970522,0.5,0.16463911937119374
future_ge950,LogisticRegression,context_current,2,58,8,50,0.9175,0.7542624042624042,0.8275,0.5384615384615384,0.1436216359158283
future_ge950,LogisticRegression,context_current,3,58,8,50,0.8200000000000001,0.5663775998905309,0.63,0.3333333333333333,0.14441683386301324
future_ge950,LogisticRegression,context_current,4,58,8,50,0.875,0.746474358974359,0.735,0.42857142857142855,0.15416004200972577
future_ge950,LogisticRegression,context_current,5,57,8,49,0.7959183673469388,0.3539408634806708,0.7729591836734694,0.5,0.166183932324808
future_ge950,LogisticRegression,g1_current,1,58,9,49,0.8843537414965986,0.5884259259259259,0.7868480725623583,0.5384615384615384,0.14205821468781987
future_ge950,LogisticRegression,g1_current,2,58,8,50,0.935,0.8407327586206896,0.8275,0.5384615384615384,0.13279008074507662
future_ge950,LogisticRegression,g1_current,3,58,8,50,0.85,0.5808712121212121,0.755,0.46153846153846156,0.16301416106152214
future_ge950,LogisticRegression,g1_current,4,58,8,50,0.8474999999999999,0.7236057882912648,0.755,0.46153846153846156,0.14872510845171705
future_ge950,LogisticRegression,g1_current,5,57,8,49,0.7908163265306123,0.40466671808583576,0.7308673469387755,0.47619047619047616,0.14971649812025054
future_ge950,RandomForest,context_current,1,58,9,49,0.8979591836734694,0.6573140367258015,0.7165532879818595,0.5,0.11954370085167225
future_ge950,RandomForest,context_current,2,58,8,50,0.8500000000000001,0.6186724290780141,0.815,0.6,0.11518544960061688
future_ge950,RandomForest,context_current,3,58,8,50,0.8275,0.5296442924371147,0.69,0.4444444444444444,0.11726478908710766
future_ge950,RandomForest,context_current,4,58,8,50,0.8625,0.6110585016835017,0.775,0.5,0.12342147642335141
future_ge950,RandomForest,context_current,5,57,8,49,0.8316326530612245,0.6829326923076924,0.7410714285714286,0.5,0.1274946873204171
future_ge950,RandomForest,g1_current,1,58,9,49,0.8684807256235828,0.6328264614642325,0.7369614512471656,0.5555555555555556,0.10537311466915042
future_ge950,RandomForest,g1_current,2,58,8,50,0.835,0.718560606060606,0.7725,0.5882352941176471,0.09312449675398249
future_ge950,RandomForest,g1_current,3,58,8,50,0.8075,0.4738283920027341,0.5549999999999999,0.23529411764705882,0.11484255790387204
future_ge950,RandomForest,g1_current,4,58,8,50,0.905,0.7526200135226505,0.815,0.6,0.09077444255725454
future_ge950,RandomForest,g1_current,5,57,8,49,0.8418367346938775,0.6867742551566081,0.7397959183673469,0.6153846153846154,0.09479381570935055
future_ge950,GradientBoosting,context_current,1,58,9,49,0.81859410430839,0.6636470083528907,0.7573696145124716,0.625,0.10333790740113154
future_ge950,GradientBoosting,context_current,2,58,8,50,0.86,0.626808608058608,0.74,0.6153846153846154,0.08076459918872704
future_ge950,GradientBoosting,context_current,3,58,8,50,0.74625,0.5356993549928333,0.6575,0.42857142857142855,0.10594754255295408
